Type,Identification,Field,Locale,Market,Status,Default content,Translated content
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.hero.heading:32yoaqmf9satb,sv,,,"Vill du skapa men fastnat i ""hur"" – eller saknar du skaparglädjen du hade förr?","Vill du skapa men fastnat i ""hur"" – eller saknar du skaparglädjen du hade förr?"
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.hero.subtitle:hweh93ixsncj,sv,,,"Upptäck din kreativitet, hitta ditt uttryck och låt skapandet bli en källa till mening, energi och närvaro i ditt liv.","Upptäck din kreativitet, hitta ditt uttryck och låt skapandet bli en källa till mening, energi och närvaro i ditt liv."
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.hero.cta_primary_text:1sb4ldng8v3m8,sv,,,Se våra paketView our packages,Se våra paket
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.hero.cta_primary_link:1sb4ldnvov0b1,sv,,,#paket,#paket
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.hero.cta_secondary_text:1lzj4w6o611nq,sv,,,Läs mer om Read more about the coaching,Läs mer om coachingen
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.hero.cta_secondary_link:1lzj4w6irox6j,sv,,,#process,#process
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.testimonial.quote:39srwg5dsp34a,sv,,,"""Jag litar på kompetensen Therese besitter inom det konstnärliga och kreativa, det är en trygghet att luta sig mot henne i samtalen och bolla idéer och få råd.""","Jag litar på kompetensen Therese besitter inom det konstnärliga och kreativa, det är en trygghet att luta sig mot henne i samtalen och bolla idéer och få råd."
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.testimonial.author:2vc1ys4khr42t,sv,,,Kim,Kim
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.image_alt:263dffpjwcd7v,sv,,,Therese Parner - Kreativ coach,Therese Parner - Kreativ coach
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.label:3v9j9ft6so9kc,sv,,,About mOm mig,Om mig
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.heading:hg1nccrjcywy,sv,,,My name is Therese Jag heter Therese Parnerarner,Jag heter Therese Parner
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.content:hg1j056pgrpf,sv,,,"<p>I am an artist, creative coach, former art teacher and cultural worker in the public sector. Throughout the years, I have worked with many different expressions and materials – from wood and textile to clay, metal and other unexpected combinations.Jag är konstnär, kreativ coach, tidigare lärare inom konst och kulturarbetare inom offentlig sektor. Genom åren har jag arbetat med många olika uttryck och material – från trä och textil till lera, metall och andra oväntade kombinationer.</p><p></p><p>För mig är naturen och utomhus som ett magiskt rum där tid och fantasi möts. Här kan idéer ta form, tankarna rensas och skapandeprocessen får egna andetag.</p><p></p><p>I coachingen möts lekfull nyfikenhet och handfast guidning. Oavsett om du söker konstnärlig fördjupning, ny inspiration eller en trygg plats för skapandeprocessen, finns jag här som samtalspartner, handledare och påhejare.For me, nature and the outdoors are like a magical space where time and imagination meet. Here, ideas can take shape, thoughts can be cleared, and the creative process can breathe on its own.</p><p>In coaching, playful curiosity and hands-on guidance meet. Whether you are looking for artistic immersion, new inspiration or a safe place for the creative process, I am here as a conversation partner, mentor and cheerleader.</p>","<p>Jag är konstnär, kreativ coach, tidigare lärare inom konst och kulturarbetare inom offentlig sektor. Genom åren har jag arbetat med många olika uttryck och material – från trä och textil till lera, metall och andra oväntade kombinationer.</p><p>För mig är naturen och utomhus som ett magiskt rum där tid och fantasi möts. Här kan idéer ta form, tankarna rensas och skapandeprocessen får egna andetag.</p><p>I coachingen möts lekfull nyfikenhet och handfast guidning. Oavsett om du söker konstnärlig fördjupning, ny inspiration eller en trygg plats för skapandeprocessen, finns jag här som samtalspartner, handledare och påhejare.</p>"
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cta_text:f3u2j4su4opq,sv,,,Se våra paket,Se våra paket
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cta_link:f3u2j4y38qf7,sv,,,#paket,#paket
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cred_1.title:3thhqk3vw7kzz,sv,,,Master of Fine Arts,Magisterexamen i fri konst
ONLINE_STORE_THEME,189302341896,section.page.coaching2.json.about.cred_1.description:291k3tc9an5ih,sv,,,Academic background and profound artistic competence,Akademisk grund och djup konstnärlig kompetens
