Type,Identification,Field,Locale,Market,Status,Default content,Translated content
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.price_note:2lb08ioloomap,sv,,,Tax included.,Moms ingår.
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.add_to_cart_text:4mr60bh2si8v,sv,,,Add to cart,Lägg i varukorgen
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.more_options_text:2lieuubb4cbmj,sv,,,More payment options,Fler betalningsalternativ
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.description_title:39t2mv4s1hc62,sv,,,Go from idea to execution,Gå från idé till genomförande
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.description_text:2c9fsk3ko2u1z,sv,,,"Do you have an idea that you want to bring to life, but don't know how to start? Here you'll get support throughout the entire process: from artistic guidance to practical advice on materials and techniques.","Har du en idé som vill ta form, men vet inte hur du ska börja? Här får du stöd i hela processen: från konstnärlig vägledning till handfasta råd om material och tekniker."
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.features_title:3lf70sh00ftln,sv,,,The package includes:,Paketet inkluderar:
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.feature_1.feature_text:285fs3fj8dyfo,sv,,,"3 × coaching sessions (1 per month, 60 min) via video",3 × coachingsamtal (1 per månad á 60 min) per video
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.feature_2.feature_text:22rxwd9l1y2hj,sv,,,Written summary after each session,Skriftlig sammanfattning efter varje samtal
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.feature_3.feature_text:1506bfhgedes6,sv,,,Inspiring homework after each session,Inspirerande hemuppgifter efter varje samtal
ONLINE_STORE_THEME,189302341896,section.product.coaching-ide.json.main.badge_1.badge_text:2ynva44l6cewk,sv,,,Most popular,Populärast
