Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,512271778056,title,sv,,,Startsida,Home
COLLECTION,512271778056,handle,sv,,,frontpage,
COLLECTION,512591003912,title,sv,,,Featured Products,Utvalda produkter
COLLECTION,512591003912,body_html,sv,,,Currently featured Items,Aktuella produkter
COLLECTION,512591003912,handle,sv,,,featured-products,
COLLECTION,513004830984,title,sv,,,T-shirts,T-shirtar
COLLECTION,513004830984,body_html,sv,,,,
COLLECTION,513004830984,handle,sv,,,t-shirts,
COLLECTION,513004863752,title,sv,,,Posters,Affischer
COLLECTION,513004863752,body_html,sv,,,,
COLLECTION,513004863752,handle,sv,,,posters,
COLLECTION,513004962056,title,sv,,,Art,Konst
COLLECTION,513004962056,body_html,sv,,,,
COLLECTION,513004962056,handle,sv,,,art,
COLLECTION,542489149704,title,sv,,,Art Prints,Konsttryck
COLLECTION,542489149704,body_html,sv,,,,
COLLECTION,542489149704,handle,sv,,,art-prints,
COOKIE_BANNER,3389784328,policy_link_text,sv,,,Privacy Policy,
COOKIE_BANNER,3389784328,title,sv,,,Cookie consent,
COOKIE_BANNER,3389784328,text,sv,,,"We and our partners, including Shopify, use cookies and other technologies to personalize your experience, show you ads, and perform analytics, and we will not use cookies or other technologies for these purposes unless you accept them. Learn more in our ",
COOKIE_BANNER,3389784328,button_prefs_open_text,sv,,,Manage preferences,
COOKIE_BANNER,3389784328,button_accept_text,sv,,,Accept,
COOKIE_BANNER,3389784328,button_decline_text,sv,,,Decline,
COOKIE_BANNER,3389784328,preferences_title,sv,,,Cookie and privacy preferences,
COOKIE_BANNER,3389784328,preferences_intro_title,sv,,,You control your data,
COOKIE_BANNER,3389784328,preferences_intro_text,sv,,,"Learn more about the cookies we use, and choose which cookies to allow.",
COOKIE_BANNER,3389784328,preferences_button_accept_text,sv,,,Accept all,
COOKIE_BANNER,3389784328,preferences_button_decline_text,sv,,,Decline all,
COOKIE_BANNER,3389784328,preferences_button_save_text,sv,,,Save my choices,
COOKIE_BANNER,3389784328,preferences_bullet_points_title,sv,,,If you accept all cookies,
COOKIE_BANNER,3389784328,preferences_bullet_points_first_text,sv,,,Our site may be improved based on your interests,
COOKIE_BANNER,3389784328,preferences_bullet_points_second_text,sv,,,Your preferences may be stored for when you return,
COOKIE_BANNER,3389784328,preferences_bullet_points_third_text,sv,,,You may see advertising that's tailored to you,
COOKIE_BANNER,3389784328,preferences_purposes_essential_name,sv,,,Required,
COOKIE_BANNER,3389784328,preferences_purposes_essential_desc,sv,,,"These cookies are necessary for the site to function properly, including capabilities like logging in and adding items to the cart.",
COOKIE_BANNER,3389784328,preferences_purposes_performance_name,sv,,,Analytics,
COOKIE_BANNER,3389784328,preferences_purposes_performance_desc,sv,,,These cookies help us understand how you interact with the site. We use this data to identify areas to improve.,
COOKIE_BANNER,3389784328,preferences_purposes_preferences_name,sv,,,Personalization,
COOKIE_BANNER,3389784328,preferences_purposes_preferences_desc,sv,,,These cookies store details about your actions to personalize your next visit to the website.,
COOKIE_BANNER,3389784328,preferences_purposes_marketing_name,sv,,,Marketing,
COOKIE_BANNER,3389784328,preferences_purposes_marketing_desc,sv,,,"These cookies are used by us and our partners, including Shopify, to optimize marketing communications and show you ads on other websites.",
COOKIE_BANNER,3389784328,policy_link_url,sv,,,https://artblendart.com/policies/privacy-policy,
DELIVERY_METHOD_DEFINITION,676610703624,name,sv,,,Normal,Normalt
DELIVERY_METHOD_DEFINITION,676610736392,name,sv,,,Standard,
DELIVERY_METHOD_DEFINITION,676610769160,name,sv,,,Standard,
DELIVERY_METHOD_DEFINITION,678470287624,name,sv,,,Standard Shipping,Standardfrakt
DELIVERY_METHOD_DEFINITION,678470287624,description,sv,,,2-5 business days,2-5 arbetsdagar
DELIVERY_METHOD_DEFINITION,678470320392,name,sv,,,Standard Shipping,Standardfrakt
DELIVERY_METHOD_DEFINITION,678470320392,description,sv,,,2-5 business days,2-5 arbetsdagar
DELIVERY_METHOD_DEFINITION,678470353160,name,sv,,,Standard Shipping,Standardfrakt
DELIVERY_METHOD_DEFINITION,678470353160,description,sv,,,2-5 business days,2-5 arbetsdagar
DELIVERY_METHOD_DEFINITION,678470385928,name,sv,,,Standard Shipping,Standardfrakt
DELIVERY_METHOD_DEFINITION,678470385928,description,sv,,,2-5 business days,2-5 arbetsdagar
DELIVERY_METHOD_DEFINITION,678470418696,name,sv,,,Standard Shipping,Standardfrakt
DELIVERY_METHOD_DEFINITION,678470418696,description,sv,,,2-5 business days,2-5 arbetsdagar
DELIVERY_METHOD_DEFINITION,678470451464,name,sv,,,Standard Shipping,Standardfrakt
DELIVERY_METHOD_DEFINITION,678470451464,description,sv,,,2-5 business days,2-5 arbetsdagar
DELIVERY_METHOD_DEFINITION,678470484232,name,sv,,,Standard Shipping,Standardfrakt
DELIVERY_METHOD_DEFINITION,678470484232,description,sv,,,2-5 business days,2-5 arbetsdagar
